model_id,n,token_f1_mean,token_f1_std,answer_similarity_mean,answer_similarity_std,reference_answer_nll_mean,reference_answer_nll_std,reference_answer_token_perplexity_mean,reference_answer_token_perplexity_std,reference_answer_token_perplexity_median,reference_answer_tokens_mean,reference_answer_tokens_std,total_inference_seconds,generation_inference_seconds,generation_tokens,generation_tokens_per_second,reference_logprob_inference_seconds,reference_logprob_examples_per_second,vram_peak_allocated_mb,vram_peak_reserved_mb
HuggingFaceTB/SmolLM2-1.7B-Instruct,128,0.2918533240850138,0.16442593438141312,0.8026429933356488,0.0892734188533661,1.2078155757874016,0.5671662647295332,4.278248083087171,5.858330277337295,2.8045693562372267,73.8203125,63.966580053033184,453.544391075,425.6673524840003,23920,56.194114630623666,27.877038590999746,4.591592452769553,7484.11279296875,11860.0
Qwen/Qwen3-4B-Instruct-2507,128,0.24257263555172964,0.14091954389007982,0.8020611865313974,0.08085753882903246,2.611897145669291,1.2216079263372326,31.98439097037901,52.257769092670806,8.912902981198737,76.296875,65.6121219085207,1572.1836139259995,1504.0551029589988,41921,27.871984156382858,68.1285109670007,1.8788022544922371,16070.88720703125,29492.0
HuggingFaceTB/SmolLM3-3B,128,0.26792245068375287,0.15881120691485112,0.7967882430928899,0.1014641250224329,1.2131828248031495,0.580887582510713,4.241220675638648,4.5339529996041374,2.848734897170399,76.078125,65.5520000805996,1136.7885843039985,1073.3662041089992,31309,29.168982477876305,63.42238019499928,2.0182150150538267,14861.62158203125,21176.0
Qwen/Qwen2.5-3B-Instruct,128,0.27715707946840246,0.14996274564015025,0.7932025184781533,0.09361375193225867,1.3650344488188977,0.660220444588079,5.4559263875422905,8.30104166355283,3.2788737679386735,76.296875,65.6121219085207,1013.944595248,960.2151937729996,28904,30.101585756445626,53.729401475000486,2.382308316975326,12959.58056640625,20140.0
meta-llama/Llama-3.2-3B-Instruct,128,0.2621713108592033,0.17894856148670873,0.788383456196372,0.09136614683091812,1.3418968380905512,0.5836745819025158,4.736555376416393,4.233736263321559,3.2533573698397067,76.078125,65.5520000805996,1375.0708542909988,1309.741975730999,38588,29.462291592558216,65.3288785599998,1.9593172701172479,8128.23095703125,25450.0
Qwen/Qwen3-1.7B,128,0.23435289050719704,0.14256024420450755,0.7821952221900459,0.08370346204812974,2.6715981791338583,1.2860777980885538,48.05676790396577,132.6770142455148,9.053260780008058,76.296875,65.6121219085207,719.000081702,688.6431327569999,44675,64.8739497642887,30.356948945000113,4.2164975219316965,8468.81689453125,15382.0
Qwen/Qwen2.5-1.5B-Instruct,128,0.2577279397308185,0.16246338214603873,0.7731441259384155,0.0999027400826681,1.0917661171259843,0.4696405247107811,3.4501431965164118,2.8550917107942273,2.655312897724092,76.296875,65.6121219085207,556.7248056180001,529.893817313,28775,54.30333221458037,26.83098830500012,4.770603249681504,6943.86279296875,11208.0
meta-llama/Llama-3.2-1B-Instruct,128,0.23225919591527333,0.16484145709775214,0.7688429401967469,0.11310555374183591,1.4144931102362204,0.5721294282598555,5.020174814237239,4.09436546469325,3.6011383362721756,76.078125,65.5520000805996,456.5467350179997,433.6209002419996,42159,97.22547962164987,22.9258347760001,5.583220905613293,3296.59326171875,10792.0
google/medgemma-1.5-4b-it,128,0.19898230596378957,0.13639761210427054,0.7558318822402653,0.09151517389833144,1.767685777559055,0.8030073989900474,9.4773875305686,16.920155766188167,4.516839393365801,71.4765625,62.85340585410332,1375.8503177549992,1311.174798480999,53972,41.16308524426092,64.67551927400018,1.9791105110068519,9772.31396484375,16422.0
google/gemma-3-4b-it,128,0.16607703260834034,0.12138566324686814,0.7405496619817779,0.10040503528815499,5.453801673228346,3.0527187587067894,79358.16870076752,519418.69866172865,105.24068867470233,71.4765625,62.85340585410332,1438.508370153997,1375.9219587069983,64906,47.172733590933035,62.58641144699868,2.045172379125728,10052.6884765625,15058.0
google/gemma-3-1b-it,128,0.1580489324545977,0.11534778709605271,0.7336889125230744,0.097219894496276,4.537586122047244,2.2612228742758607,6361.054317637031,37611.86866373664,38.115651564714454,71.4765625,62.85340585410332,472.8391034290007,452.42593822100116,64736,143.08640272604737,20.413165207999555,6.270463139633,2271.08447265625,6926.0
